Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km
Urban,0,0,15.789,14.3689975578092,3.249,7.75327113322539,1
Urban,0,0.5,15.939,14.4684457509775,3.024,8.09565416297723,1.00655823070924
Urban,0,1,14.4165,14.6380459081875,3.204,7.28369783019811,1.01315947180852
Urban,0,1.5,17.28,14.4691182403442,2.5665,6.16365377078584,1.0198040053699
Urban,0,2,13.8735,14.5439748465382,3.582,8.43828139238926,1.02649211531532
Urban,0,2.5,15.576,14.5952361182318,3.432,8.31564642768102,1.03322408742878
Urban,0,3,16.263,13.9756705873939,4.8045,9.93115933641718,1.04000020936849
Urban,0,3.5,17.0865,14.9853578280498,3.2745,6.97380025889905,1.04682077067918
Urban,0,4,17.367,16.031723525051,3.0015,7.38463036050041,1.05368606280453
Urban,0,4.5,11.5065,14.9797216756384,4.761,10.5060795810457,1.06059637909951
Urban,0,5,14.4585,14.5471301346025,1.347,1.18323363573501,1.06755201484304
Urban,0,5.5,16.0845,15.6379851268164,3.285,8.22076918045796,1.07455326725049
Urban,0,6,13.842,14.743169847182,2.0655,4.37001579061267,1.08160043548649
Urban,0,6.5,16.2405,15.475399248089,3.579,8.58585446759817,1.08869382067763
Urban,0,7,16.752,16.7166259350702,3.2235,8.38712328452348,1.09583372592536
Urban,0,7.5,17.601,17.4887631270563,1.359,1.1839785057343,1.10302045631895
Urban,0,8,11.9835,12.8035874775751,1.359,1.42670199110696,1.11025431894851
Urban,0,8.5,14.007,14.0321606188303,2.082,3.19586004521028,1.1175356229181
Urban,0,9,12.63,14.2352662821055,1.866,2.47356823150654,1.124864679359
Urban,0,9.5,17.7405,16.8772631815706,3.99,9.79889232598902,1.13224180144292
Urban,0,10,17.178,15.7621888695442,4.566,11.0951241359363,1.13966730439543
Urban,0,10.5,15.3885,15.8760096979238,2.2785,5.90083661052241,1.14714150550943
Urban,0,11,13.0215,15.0219779551054,2.4015,6.30022758335291,1.15466472415871
Urban,0,11.5,15.6045,14.3576338668703,3.111,8.13511718616598,1.16223728181157
Urban,0,12,13.635,15.2054702831123,3.9075,8.8473048040586,1.16985950204457
Urban,0.5,0,15.4455,15.9991690552723,2.898,7.05170561217755,1.00655823070924
Urban,0.5,0.5,16.782,15.6154497670919,3.3465,7.2672858848853,1.01315947180852
Urban,0.5,1,17.994,15.9481690459553,3.84,9.11982730099644,1.0198040053699
Urban,0.5,1.5,13.422,14.2681540644949,2.889,4.69895005641186,1.02649211531532
Urban,0.5,2,13.38,13.6373034694681,3.165,6.91792812855386,1.03322408742878
Urban,0.5,2.5,12.3615,15.0656473424456,1.2735,0.58203132147993,1.04000020936849
Urban,0.5,3,14.5425,14.9458506032645,2.3115,4.95768628659847,1.04682077067918
Urban,0.5,3.5,14.5305,14.6820888121464,2.5875,4.47070181793619,1.05368606280453
Urban,0.5,4,16.4775,15.972152304392,2.463,6.08549471434881,1.06059637909951
Urban,0.5,4.5,12.636,13.359998892521,1.3155,0.838759561519758,1.06755201484304
Urban,0.5,5,15.183,16.1646521958329,1.926,3.53744892513789,1.07455326725049
Urban,0.5,5.5,16.161,16.7040988187612,2.7405,6.67501221049101,1.08160043548649
Urban,0.5,6,17.319,16.1104657326363,3.312,7.08907473597541,1.08869382067763
Urban,0.5,6.5,17.628,15.8713181814343,3.8985,8.71253262518414,1.09583372592536
Urban,0.5,7,17.127,15.4848879919245,3.003,8.0904983953842,1.10302045631895
Urban,0.5,7.5,12.909,13.9582401601114,1.7145,2.19859701321789,1.11025431894851
Urban,0.5,8,18.291,15.7374778208983,2.4795,6.53412293272785,1.1175356229181
Urban,0.5,8.5,14.4585,14.0564020656288,2.8005,6.92135576034237,1.124864679359
Urban,0.5,9,19.455,16.1335086711111,4.464,8.05328422040933,1.13224180144292
Urban,0.5,9.5,10.2795,13.7535243071493,1.668,2.35063517251949,1.13966730439543
Urban,0.5,10,15.4695,15.7872068541304,2.6325,4.60991403368427,1.14714150550943
Urban,0.5,10.5,16.6275,15.2464568065194,3.3255,8.16101748420814,1.15466472415871
Urban,0.5,11,15.9075,16.1091574999173,2.643,6.41930689563976,1.16223728181157
Urban,0.5,11.5,10.1685,13.3786389385071,3.5655,8.89497664070994,1.16985950204457
Urban,0.5,12,13.785,14.6286612371685,3.327,7.19344025158069,1.17753171055638
Urban,1,0,11.247,12.1629273631316,3.021,8.1758219957459,1.01315947180852
Urban,1,0.5,17.4795,15.3645353386775,5.1375,10.4759883976722,1.0198040053699
Urban,1,1,18.093,16.6422179828217,5.241,11.6226114070104,1.02649211531532
Urban,1,1.5,15.4155,15.0158503755199,1.3155,0.838759561519758,1.03322408742878
Urban,1,2,17.172,15.2428099811829,3.69,8.50765561606913,1.04000020936849
Urban,1,2.5,17.016,14.8387452712313,3.195,5.94483569399285,1.04682077067918
Urban,1,3,13.1445,14.1242231951831,3.0315,7.99949107118442,1.05368606280453
Urban,1,3.5,13.182,13.5253381262197,3.2355,8.167758119832,1.06059637909951
Urban,1,4,10.2315,11.7300251513379,1.9005,2.8021743106643,1.06755201484304
Urban,1,4.5,16.011,16.2008874473478,1.2945,0.704509707932707,1.07455326725049
Urban,1,5,10.974,12.5994937944963,1.5255,1.77563936458427,1.08160043548649
Urban,1,5.5,14.187,15.6510034561262,3.2655,7.99899051347693,1.08869382067763
Urban,1,6,15.7545,15.2719235938078,3.3405,7.31226585182426,1.09583372592536
Urban,1,6.5,14.6295,15.8739323038028,1.314,0.902832278138625,1.10302045631895
Urban,1,7,16.065,14.2472929759606,3.732,8.75155239873219,1.11025431894851
Urban,1,7.5,14.805,15.5605737066997,2.8365,6.64623802213995,1.1175356229181
Urban,1,8,12.6735,14.0802550363179,1.782,2.09455708629655,1.124864679359
Urban,1,8.5,16.494,15.7481255444343,2.2035,5.81429231747607,1.13224180144292
Urban,1,9,17.004,15.6599762491023,1.695,2.03577067591071,1.13966730439543
Urban,1,9.5,12.1305,13.1124369320092,2.418,5.08666985404809,1.14714150550943
Urban,1,10,10.614,12.0179448733796,1.9875,3.53214917665187,1.15466472415871
Urban,1,10.5,14.412,13.9437227483062,3.087,7.58458466165392,1.16223728181157
Urban,1,11,16.0665,15.336483287992,2.6595,6.96432214276187,1.16985950204457
Urban,1,11.5,18.576,15.4643293961772,4.896,10.4063466211731,1.17753171055638
Urban,1,12,16.47,16.3589004046415,2.8185,6.30369953329967,1.18525423518166
Urban,1.5,0,17.0685,15.2421557359709,3.0825,8.0423151460362,1.0198040053699
Urban,1.5,0.5,13.701,14.4762842298029,1.944,4.11943985195531,1.02649211531532
Urban,1.5,1,13.8285,15.0635151956979,2.4015,6.00878483164951,1.03322408742878
Urban,1.5,1.5,16.062,16.8457832790795,3.777,8.74385183417235,1.04000020936849
Urban,1.5,2,14.871,15.2952651737292,1.755,2.16343689153936,1.04682077067918
Urban,1.5,2.5,11.8065,12.4677745935803,2.196,4.16084260991566,1.05368606280453
Urban,1.5,3,13.383,14.9519241816796,2.6175,6.39222313296655,1.06059637909951
Urban,1.5,3.5,17.022,16.7938351480414,3.105,6.83331238589788,1.06755201484304
Urban,1.5,4,17.127,16.4868298087551,3.1185,8.29565415179071,1.07455326725049
Urban,1.5,4.5,16.95,16.1077731900737,2.0085,3.46183495786703,1.08160043548649
Urban,1.5,5,16.053,16.0594952839593,5.0775,10.5309847132456,1.08869382067763
Urban,1.5,5.5,17.766,15.3675851209284,5.277,11.015075291321,1.09583372592536
Urban,1.5,6,14.8215,14.2447779636853,3.6765,8.52067325415554,1.10302045631895
Urban,1.5,6.5,12.0855,13.2244758875352,4.3155,8.66721757308444,1.11025431894851
Urban,1.5,7,16.26,16.3023904282001,2.478,5.74809116497088,1.1175356229181
Urban,1.5,7.5,17.169,16.3626250638335,1.725,2.36074400240644,1.124864679359
Urban,1.5,8,10.1775,14.0481344992196,1.5585,2.74182276813012,1.13224180144292
Urban,1.5,8.5,18.213,16.3396219637532,2.8575,6.78641960620094,1.13966730439543
Urban,1.5,9,14.6235,14.8989953177921,1.5405,1.5646680061239,1.14714150550943
Urban,1.5,9.5,14.649,14.0293533023312,2.9475,5.09973551234948,1.15466472415871
Urban,1.5,10,12.951,14.339096654153,1.359,1.42670199110696,1.16223728181157
Urban,1.5,10.5,16.479,15.360803849342,2.6385,6.3999844746304,1.16985950204457
Urban,1.5,11,17.5965,16.1323266933451,6.8145,13.0476775730787,1.17753171055638
Urban,1.5,11.5,12.696,15.3847520590475,2.169,5.55518593895169,1.18525423518166
